,correct,stim_dir_lvl,stim_col_lvl,context,stim_dir,stim_col,choice
90,1,1,3,-1,-0.14998687664042085,0.047007874015747596,1.0
91,1,1,3,1,-0.14998687664042085,0.047007874015747596,-1.0
92,1,1,4,-1,-0.14998687664042085,0.14998687664042085,1.0
93,1,1,4,1,-0.14998687664042085,0.14998687664042085,-1.0
94,1,1,5,-1,-0.14998687664042085,0.5,1.0
95,1,1,5,1,-0.14998687664042085,0.5,-1.0
96,1,2,0,-1,-0.047007874015747596,-0.5,-1.0
97,1,2,0,1,-0.047007874015747596,-0.5,-1.0
98,1,2,1,-1,-0.047007874015747596,-0.14998687664042085,-1.0
99,1,2,1,1,-0.047007874015747596,-0.14998687664042085,-1.0
100,1,2,2,-1,-0.047007874015747596,-0.047007874015747596,-1.0
101,1,2,2,1,-0.047007874015747596,-0.047007874015747596,-1.0
102,1,2,3,-1,-0.047007874015747596,0.047007874015747596,1.0
103,1,2,3,1,-0.047007874015747596,0.047007874015747596,-1.0
104,1,2,4,-1,-0.047007874015747596,0.14998687664042085,1.0
105,1,2,4,1,-0.047007874015747596,0.14998687664042085,-1.0
106,1,2,5,-1,-0.047007874015747596,0.5,1.0
107,1,2,5,1,-0.047007874015747596,0.5,-1.0
108,1,3,0,-1,0.047007874015747596,-0.5,-1.0
109,1,3,0,1,0.047007874015747596,-0.5,1.0
110,1,3,1,-1,0.047007874015747596,-0.14998687664042085,-1.0
111,1,3,1,1,0.047007874015747596,-0.14998687664042085,1.0
112,1,3,2,-1,0.047007874015747596,-0.047007874015747596,-1.0
113,1,3,2,1,0.047007874015747596,-0.047007874015747596,1.0
114,1,3,3,-1,0.047007874015747596,0.047007874015747596,1.0
115,1,3,3,1,0.047007874015747596,0.047007874015747596,1.0
116,1,3,4,-1,0.047007874015747596,0.14998687664042085,1.0
117,1,3,4,1,0.047007874015747596,0.14998687664042085,1.0
118,1,3,5,-1,0.047007874015747596,0.5,1.0
119,1,3,5,1,0.047007874015747596,0.5,1.0
120,1,4,0,-1,0.14998687664042085,-0.5,-1.0
121,1,4,0,1,0.14998687664042085,-0.5,1.0
122,1,4,1,-1,0.14998687664042085,-0.14998687664042085,-1.0
123,1,4,1,1,0.14998687664042085,-0.14998687664042085,1.0
124,1,4,2,-1,0.14998687664042085,-0.047007874015747596,-1.0
125,1,4,2,1,0.14998687664042085,-0.047007874015747596,1.0
126,1,4,3,-1,0.14998687664042085,0.047007874015747596,1.0
127,1,4,3,1,0.14998687664042085,0.047007874015747596,1.0
